kWhDelivered,effective_charging_duration_min,connectionTime_year,connectionTime_month,connectionTime_day,connectionTime_hour,connectionTime_min,connectionTime_sec,disconnectTime_year,disconnectTime_month,disconnectTime_day,disconnectTime_hour,disconnectTime_min,disconnectTime_sec,doneChargingTime_year,doneChargingTime_month,doneChargingTime_day,doneChargingTime_hour,doneChargingTime_min,doneChargingTime_sec
7.932,133.1,2018,4,25,11,8,4,2018,4,25,13,20,10,2018,4,25,13,21,10
10.013,179.08333333333334,2018,4,25,13,45,10,2018,4,26,0,56,16,2018,4,25,16,44,15
5.257,65.9,2018,4,25,13,45,50,2018,4,25,23,4,45,2018,4,25,14,51,44
5.177,88.26666666666667,2018,4,25,14,37,6,2018,4,25,23,55,34,2018,4,25,16,5,22
10.119,179.93333333333334,2018,4,25,14,40,34,2018,4,25,23,3,12,2018,4,25,17,40,30
7.91,94.63333333333334,2018,4,25,14,43,50,2018,4,26,1,17,30,2018,4,25,16,18,28
15.294,220.0,2018,4,25,14,47,42,2018,4,25,18,27,51,2018,4,25,18,27,42
6.953,110.06666666666666,2018,4,25,14,58,25,2018,4,25,19,6,29,2018,4,25,16,48,29
2.174,57.06666666666667,2018,4,25,15,10,52,2018,4,25,18,15,46,2018,4,25,16,7,56
2.439,198.15,2018,4,25,15,12,11,2018,4,25,18,29,21,2018,4,25,18,30,20
6.955,199.23333333333332,2018,4,25,15,14,6,2018,4,25,18,33,30,2018,4,25,18,33,20
3.249,63.5,2018,4,25,15,14,41,2018,4,26,2,26,3,2018,4,25,16,18,11
2.72,87.18333333333334,2018,4,25,15,14,49,2018,4,25,23,52,50,2018,4,25,16,42,0
2.575,46.75,2018,4,25,15,20,56,2018,4,25,23,49,32,2018,4,25,16,7,41
5.4,204.43333333333334,2018,4,25,15,30,31,2018,4,25,19,47,51,2018,4,25,18,54,57
4.929,175.25,2018,4,25,15,31,42,2018,4,26,0,57,15,2018,4,25,18,26,57
4.043,136.01666666666668,2018,4,25,15,33,45,2018,4,26,0,42,15,2018,4,25,17,49,46
2.49,115.45,2018,4,25,15,44,42,2018,4,26,0,41,45,2018,4,25,17,40,9
5.95,137.71666666666667,2018,4,25,15,48,23,2018,4,26,0,32,18,2018,4,25,18,6,6
4.474,125.51666666666667,2018,4,25,15,51,21,2018,4,26,0,32,44,2018,4,25,17,56,52
6.531,241.76666666666668,2018,4,25,15,53,29,2018,4,26,0,28,12,2018,4,25,19,55,15
6.023,145.71666666666667,2018,4,25,15,57,29,2018,4,26,1,28,29,2018,4,25,18,23,12
9.553,147.76666666666668,2018,4,25,15,59,24,2018,4,26,0,51,51,2018,4,25,18,27,10
14.693,492.8333333333333,2018,4,25,16,1,26,2018,4,26,0,33,6,2018,4,26,0,14,16
2.207,72.36666666666666,2018,4,25,16,2,3,2018,4,25,21,31,50,2018,4,25,17,14,25
9.153,205.68333333333334,2018,4,25,16,2,10,2018,4,25,19,27,55,2018,4,25,19,27,51
17.446,375.98333333333335,2018,4,25,16,3,59,2018,4,25,23,57,15,2018,4,25,22,19,58
4.548,128.75,2018,4,25,16,4,31,2018,4,26,1,42,0,2018,4,25,18,13,16
32.708,364.8333333333333,2018,4,25,16,25,51,2018,4,25,22,30,46,2018,4,25,22,30,41
6.764,130.16666666666666,2018,4,25,16,38,1,2018,4,26,0,0,51,2018,4,25,18,48,11
10.879,288.8666666666667,2018,4,25,16,52,5,2018,4,26,1,53,12,2018,4,25,21,40,57
5.07,135.25,2018,4,25,17,6,18,2018,4,26,2,10,51,2018,4,25,19,21,33
6.337,439.1166666666667,2018,4,25,18,22,3,2018,4,29,0,24,2,2018,4,26,1,41,10
2.375,49.31666666666667,2018,4,25,18,47,12,2018,4,25,19,36,38,2018,4,25,19,36,31
6.523,135.7,2018,4,25,19,32,5,2018,4,25,21,46,47,2018,4,25,21,47,47
2.203,52.95,2018,4,25,19,33,1,2018,4,25,23,43,32,2018,4,25,20,25,58
7.738,147.16666666666666,2018,4,25,19,40,2,2018,4,26,0,17,12,2018,4,25,22,7,12
12.94,210.4,2018,4,25,19,41,42,2018,4,26,0,35,28,2018,4,25,23,12,6
14.328,313.06666666666666,2018,4,25,19,43,13,2018,4,26,0,56,23,2018,4,26,0,56,17
4.189,193.36666666666667,2018,4,25,20,14,50,2018,4,25,23,56,33,2018,4,25,23,28,12
0.829,35.05,2018,4,25,20,30,49,2018,4,26,2,52,48,2018,4,25,21,5,52
27.743,309.68333333333334,2018,4,25,21,57,42,2018,4,26,3,6,25,2018,4,26,3,7,23
12.692,175.75,2018,4,25,22,17,32,2018,4,26,2,7,17,2018,4,26,1,13,17
1.304,35.96666666666667,2018,4,25,22,42,48,2018,4,25,23,36,11,2018,4,25,23,18,46
11.466,118.7,2018,4,26,0,2,16,2018,4,26,2,11,35,2018,4,26,2,0,58
11.695,209.26666666666668,2018,4,26,0,3,3,2018,4,26,4,31,41,2018,4,26,3,32,19
2.87,25.266666666666666,2018,4,26,0,5,36,2018,4,26,0,31,5,2018,4,26,0,30,52
2.264,69.66666666666667,2018,4,26,0,7,10,2018,4,26,4,17,45,2018,4,26,1,16,50
1.02,478.53333333333336,2018,4,26,1,21,28,2018,4,26,11,31,13,2018,4,26,9,20,0
5.023,52.4,2018,4,26,1,40,29,2018,4,26,4,0,22,2018,4,26,2,32,53
8.693,89.63333333333334,2018,4,26,1,48,55,2018,4,26,4,0,36,2018,4,26,3,18,33
4.915,51.55,2018,4,26,1,49,57,2018,4,26,3,48,38,2018,4,26,2,41,30
13.892,132.4,2018,4,26,2,17,10,2018,4,26,4,29,39,2018,4,26,4,29,34
1.155,11.083333333333334,2018,4,26,2,25,14,2018,4,26,2,36,24,2018,4,26,2,36,19
11.891,118.53333333333333,2018,4,26,2,36,2,2018,4,26,4,38,47,2018,4,26,4,34,34
6.956,71.0,2018,4,26,2,49,57,2018,4,26,4,24,44,2018,4,26,4,0,57
2.568,22.85,2018,4,26,3,7,4,2018,4,26,3,30,0,2018,4,26,3,29,55
6.503,138.85,2018,4,26,3,13,44,2018,4,26,16,47,48,2018,4,26,5,32,35
2.272,72.1,2018,4,26,3,33,58,2018,4,26,5,36,31,2018,4,26,4,46,4
13.926,468.0,2018,4,26,6,20,56,2018,4,26,14,9,1,2018,4,26,14,8,56
4.632,80.21666666666667,2018,4,26,11,31,17,2018,4,26,12,51,36,2018,4,26,12,51,30
12.138,208.31666666666666,2018,4,26,13,25,8,2018,4,27,1,17,37,2018,4,26,16,53,27
7.108,552.9166666666666,2018,4,26,13,54,17,2018,4,26,23,8,24,2018,4,26,23,7,12
13.155,566.9,2018,4,26,14,47,8,2018,4,27,0,59,45,2018,4,27,0,14,2
7.186,69.73333333333333,2018,4,26,14,59,44,2018,4,26,23,51,12,2018,4,26,16,9,28
2.354,61.03333333333333,2018,4,26,15,5,16,2018,4,27,0,10,21,2018,4,26,16,6,18
13.413,124.05,2018,4,26,15,5,56,2018,4,26,23,16,29,2018,4,26,17,9,59
6.14,64.58333333333333,2018,4,26,15,27,50,2018,4,27,0,14,34,2018,4,26,16,32,25
6.087,211.86666666666667,2018,4,26,15,28,15,2018,4,26,19,41,54,2018,4,26,19,0,7
6.298,122.78333333333333,2018,4,26,15,45,26,2018,4,27,0,30,2,2018,4,26,17,48,13
4.182,69.26666666666667,2018,4,26,15,46,5,2018,4,27,0,6,32,2018,4,26,16,55,21
4.846,90.75,2018,4,26,15,46,33,2018,4,26,22,41,11,2018,4,26,17,17,18
2.65,52.93333333333333,2018,4,26,15,47,39,2018,4,26,21,46,12,2018,4,26,16,40,35
2.997,69.73333333333333,2018,4,26,15,55,18,2018,4,26,19,27,14,2018,4,26,17,5,2
2.68,58.96666666666667,2018,4,26,15,56,4,2018,4,26,18,30,0,2018,4,26,16,55,2
3.54,122.35,2018,4,26,15,57,16,2018,4,27,0,33,13,2018,4,26,17,59,37
1.916,44.766666666666666,2018,4,26,15,59,53,2018,4,26,23,47,33,2018,4,26,16,44,39
2.757,91.8,2018,4,26,16,1,29,2018,4,27,0,1,37,2018,4,26,17,33,17
10.248,198.2,2018,4,26,16,1,58,2018,4,26,19,20,15,2018,4,26,19,20,10
14.0,500.9166666666667,2018,4,26,16,7,42,2018,4,27,0,44,12,2018,4,27,0,28,37
14.01,460.0,2018,4,26,16,9,35,2018,4,26,23,56,57,2018,4,26,23,49,35
6.709,123.53333333333333,2018,4,26,16,20,52,2018,4,26,18,24,32,2018,4,26,18,24,24
25.981,656.9666666666667,2018,4,26,16,21,31,2018,4,27,3,18,49,2018,4,27,3,18,29
4.263,118.21666666666667,2018,4,26,16,38,47,2018,4,27,0,49,4,2018,4,26,18,37,0
5.723,165.03333333333333,2018,4,26,16,41,12,2018,4,26,19,26,19,2018,4,26,19,26,14
4.384,92.6,2018,4,26,16,53,4,2018,4,27,1,26,0,2018,4,26,18,25,40
9.914,443.81666666666666,2018,4,26,16,58,21,2018,4,27,0,22,16,2018,4,27,0,22,10
10.411,468.68333333333334,2018,4,26,17,8,18,2018,4,27,0,56,1,2018,4,27,0,56,59
9.026,208.98333333333332,2018,4,26,17,11,27,2018,4,27,0,22,10,2018,4,26,20,40,26
14.422,247.78333333333333,2018,4,26,17,15,26,2018,4,27,1,21,54,2018,4,26,21,23,13
18.861,196.73333333333332,2018,4,26,17,26,50,2018,4,27,1,10,34,2018,4,26,20,43,34
5.728,87.83333333333333,2018,4,26,17,39,42,2018,4,27,0,37,11,2018,4,26,19,7,32
2.528,68.6,2018,4,26,18,43,12,2018,4,26,23,33,27,2018,4,26,19,51,48
2.628,262.6333333333333,2018,4,26,19,38,28,2018,4,27,2,43,36,2018,4,27,0,1,6
1.306,34.483333333333334,2018,4,26,20,17,40,2018,4,26,23,38,34,2018,4,26,20,52,9
1.801,37.3,2018,4,26,20,27,49,2018,4,27,2,57,22,2018,4,26,21,5,7
5.576,109.2,2018,4,26,21,2,30,2018,4,27,0,20,54,2018,4,26,22,51,42
16.0,230.65,2018,4,26,21,18,45,2018,4,27,2,52,20,2018,4,27,1,9,24
0.852,27.3,2018,4,26,23,4,49,2018,4,26,23,47,16,2018,4,26,23,32,7
1.829,33.28333333333333,2018,4,27,1,17,43,2018,4,27,1,51,4,2018,4,27,1,51,0
13.927,980.2333333333333,2018,4,27,1,22,57,2018,4,27,17,44,3,2018,4,27,17,43,11
13.872,132.4,2018,4,27,1,40,52,2018,4,27,3,53,24,2018,4,27,3,53,16
5.654,56.46666666666667,2018,4,27,1,50,34,2018,4,27,3,42,49,2018,4,27,2,47,2
2.558,79.31666666666666,2018,4,27,2,4,43,2018,4,27,3,47,34,2018,4,27,3,24,2
6.417,119.56666666666666,2018,4,27,3,10,5,2018,4,27,16,49,9,2018,4,27,5,9,39
5.56,49.11666666666667,2018,4,27,3,29,59,2018,4,27,4,19,11,2018,4,27,4,19,6
0.546,19.5,2018,4,27,5,6,13,2018,4,27,9,54,36,2018,4,27,5,25,43
11.323,713.6833333333333,2018,4,27,13,16,28,2018,4,28,1,10,32,2018,4,28,1,10,9
3.981,69.66666666666667,2018,4,27,14,14,39,2018,4,27,15,24,24,2018,4,27,15,24,19
17.634,234.26666666666668,2018,4,27,14,41,42,2018,4,27,21,32,39,2018,4,27,18,35,58
7.288,526.9666666666667,2018,4,27,15,0,26,2018,4,27,23,47,28,2018,4,27,23,47,24
6.236,118.73333333333333,2018,4,27,15,9,6,2018,4,27,23,53,35,2018,4,27,17,7,50
9.3,86.28333333333333,2018,4,27,15,9,39,2018,4,28,0,30,52,2018,4,27,16,35,56
2.945,58.0,2018,4,27,15,14,35,2018,4,27,23,38,56,2018,4,27,16,12,35
4.85,116.18333333333334,2018,4,27,15,15,12,2018,4,27,19,19,8,2018,4,27,17,11,23
10.978,295.28333333333336,2018,4,27,15,16,3,2018,4,27,21,51,8,2018,4,27,20,11,20
3.846,69.08333333333333,2018,4,27,15,19,27,2018,4,27,16,44,50,2018,4,27,16,28,32
19.124,258.03333333333336,2018,4,27,15,27,27,2018,4,28,2,4,59,2018,4,27,19,45,29
3.259,67.95,2018,4,27,15,31,38,2018,4,27,23,51,59,2018,4,27,16,39,35
13.972,293.3,2018,4,27,15,42,36,2018,4,27,20,42,1,2018,4,27,20,35,54
16.95,307.15,2018,4,27,16,19,1,2018,4,27,22,22,22,2018,4,27,21,26,10
6.444,174.76666666666668,2018,4,27,16,25,9,2018,4,27,19,19,59,2018,4,27,19,19,55
9.064,118.73333333333333,2018,4,27,16,27,57,2018,4,28,1,29,56,2018,4,27,18,26,41
9.67,177.45,2018,4,27,16,28,35,2018,4,27,19,47,20,2018,4,27,19,26,2
30.553,318.93333333333334,2018,4,27,16,37,18,2018,4,28,0,40,11,2018,4,27,21,56,14
2.485,87.66666666666667,2018,4,27,16,38,52,2018,4,27,20,37,17,2018,4,27,18,6,32
2.219,67.95,2018,4,27,16,43,29,2018,4,28,2,39,45,2018,4,27,17,51,26
5.606,84.38333333333334,2018,4,27,16,47,18,2018,4,27,18,11,50,2018,4,27,18,11,41
5.805,135.55,2018,4,27,16,51,19,2018,4,27,23,50,42,2018,4,27,19,6,52
11.729,282.05,2018,4,27,16,56,15,2018,4,27,22,14,39,2018,4,27,21,38,18
11.831,142.05,2018,4,27,17,3,53,2018,4,28,2,13,9,2018,4,27,19,25,56
15.894,190.15,2018,4,27,17,10,25,2018,4,28,0,32,5,2018,4,27,20,20,34
9.823,235.8,2018,4,27,17,19,2,2018,4,27,23,9,55,2018,4,27,21,14,50
1.832,45.06666666666667,2018,4,27,17,26,41,2018,4,27,19,47,41,2018,4,27,18,11,45
21.669,264.8,2018,4,27,17,32,30,2018,4,28,1,17,34,2018,4,27,21,57,18
1.759,372.78333333333336,2018,4,27,18,17,36,2018,4,28,0,29,23,2018,4,28,0,30,23
2.531,338.7,2018,4,27,18,18,21,2018,4,28,4,3,54,2018,4,27,23,57,3
2.848,93.96666666666667,2018,4,27,18,32,36,2018,4,27,23,41,31,2018,4,27,20,6,34
13.871,151.61666666666667,2018,4,27,19,59,49,2018,4,28,0,16,8,2018,4,27,22,31,26
6.523,125.43333333333334,2018,4,27,20,15,40,2018,4,27,22,27,25,2018,4,27,22,21,6
1.158,34.733333333333334,2018,4,27,20,29,42,2018,4,28,1,0,33,2018,4,27,21,4,26
11.337,135.08333333333334,2018,4,27,21,25,0,2018,4,27,23,40,10,2018,4,27,23,40,5
